Ledgerstyle,county,geotype,Character2008,POP2010,WHITEONLY2010,BlackONLY2010,ASIANONLY2010,HISPANIC2010,_2010PopSqMile,POP2000,StateLegDISTRICT2011,2010FIPS,2000FIPS,EMPTY,Statemuniname,1968statecode,TreasuryTaxationcode03,Federalcode03,2003LegislativeDistrict,AlternateCountyCodestate,COUNTY00,muniname06,njmuncode,DOEco_code,DOEdist_code,DOEco_name,DOEdis_name,DOEdfg,MUNICIPALITY,AREA_IN_SQUARE_Miles00WRONG,DENSITY_PER_Square_MileWRONG,Character10,SUMLEV10,GEOCOMP10,CHARITER10,CIFSN10,LOGRECNO10,REGION10,DIVISION10,STATE10,COUNTY10,COUNTYCC10,COUNTYSC10,COUSUB10,COUSUBCC10,COUSUBSC10,CBSA10,CBSASC10,METDIV10,CSA10,CD10,SLDU10,SLDL10,SDELM10,SDSEC10,SDUNI10,AREALAND10,AREAWATR10,AREAname10,FUNCSTAT10,GCUNI10,POP10010,HU10010,INTPTLAT10,INTPTLON10,LSADC10,STATENS10,COUNTYNS10,COUSUBNS10,PLACENS,CSASC10,MEMI10,PUMA10,RESERVED10,2010FIPS,SUMLEV00,LOGRECNO00,STATECE00,STATEFIPS00,COUNTYFIPS00,COUNTYSC00,COUSUBFIPS00,COUSUBCC00,COUSUBSC00,PLACE00,PLACECC00,PLACEDC00,MSACMSA00,MASC00,CMSA00,MACCI00,PMSA00,CD106,AREALAND00,AREAWATR00,NAME00,FUNCSTAT00,GCUNI00,POP10000,HU10000,INTPTLAT00,INTPTLON00,LSADC00,2000FIPS,LANDSQMI2010,WATRSQMI2010,TOTSQMI2010,_2010PopSqMile,LANDSQMILE2000,WATRSQMILE2000,TOTSQMILE2000,_2000PopSqMile
State Senate District 9                                                                   ,,State Senate district,,236923,,,,,,211606,9,34          009                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,195627,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,9,,,,,1587553299,289442426,State Senate District 9                                                                   ,N, ,236923,134432,39.7533188,-74.3729495,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          009                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 9                                                                   ,,,211606,118468,,,,,,,,,,,,
State Senate District 10                                                                  ,,State Senate district,,208227,,,,,,211884,10,34          010                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,195746,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,10,,,,,200279959,57643033,State Senate District 10                                                                  ,N, ,208227,104677,40.0203793,-74.1335518,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          010                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 10                                                                  ,,,211884,101610,,,,,,,,,,,,
State Senate District 11                                                                  ,,State Senate district,,205526,,,,,,211707,11,34          011                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,195826,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,11,,,,,217958625,33163820,State Senate District 11                                                                  ,N, ,205526,98950,40.2389101,-74.0494114,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          011                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 11                                                                  ,,,211707,96318,,,,,,,,,,,,
State Senate District 12                                                                  ,,State Senate district,,235457,,,,,,215033,12,34          012                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,195942,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,12,,,,,551776502,12404502,State Senate District 12                                                                  ,N, ,235457,88161,40.2685017,-74.2894261,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          012                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 12                                                                  ,,,215033,76736,,,,,,,,,,,,
State Senate District 13                                                                  ,,State Senate district,,219626,,,,,,215255,13,34          013                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196024,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,13,,,,,296748859,101420471,State Senate District 13                                                                  ,N, ,219626,83377,40.4122418,-74.170653,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          013                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 13                                                                  ,,,215255,78376,,,,,,,,,,,,
State Senate District 14                                                                  ,,State Senate district,,230937,,,,,,204216,14,34          014                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196105,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,14,,,,,449327708,7333690,State Senate District 14                                                                  ,N, ,230937,93413,40.3017732,-74.556507,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          014                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 14                                                                  ,,,204216,81600,,,,,,,,,,,,
State Senate District 15                                                                  ,,State Senate district,,204558,,,,,,201335,15,34          015                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196179,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,15,,,,,316830562,6275312,State Senate District 15                                                                  ,N, ,204558,78953,40.3194866,-74.7719492,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          015                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 15                                                                  ,,,201335,75171,,,,,,,,,,,,
State Senate District 16                                                                  ,,State Senate district,,215874,,,,,,205055,16,34          016                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196245,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,16,,,,,592477553,5878495,State Senate District 16                                                                  ,N, ,215874,82711,40.5773003,-74.6505958,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          016                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 16                                                                  ,,,205055,77880,,,,,,,,,,,,
State Senate District 17                                                                  ,,State Senate district,,235142,,,,,,207244,17,34          017                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196334,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,17,,,,,221615362,4624403,State Senate District 17                                                                  ,N, ,235142,81202,40.4889545,-74.5116918,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          017                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 17                                                                  ,,,207244,73301,,,,,,,,,,,,
State Senate District 18                                                                  ,,State Senate district,,210881,,,,,,204120,18,34          018                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196409,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,18,,,,,177712592,4443988,State Senate District 18                                                                  ,N, ,210881,77321,40.4945508,-74.3924523,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          018                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 18                                                                  ,,,204120,74765,,,,,,,,,,,,
State Senate District 19                                                                  ,,State Senate district,,224578,,,,,,213505,19,34          019                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196474,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,19,,,,,128780258,18489434,State Senate District 19                                                                  ,N, ,224578,80797,40.524318,-74.2950678,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          019                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 19                                                                  ,,,213505,76199,,,,,,,,,,,,
State Senate District 20                                                                  ,,State Senate district,,210628,,,,,,203922,20,34          020                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196544,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,20,,,,,67997219,3075317,State Senate District 20                                                                  ,N, ,210628,76642,40.6747007,-74.2328802,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          020                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 20                                                                  ,,,203922,73635,,,,,,,,,,,,
State Senate District 21                                                                  ,,State Senate district,,219875,,,,,,215342,21,34          021                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196599,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,21,,,,,306355736,5470528,State Senate District 21                                                                  ,N, ,219875,82814,40.6939932,-74.428719,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          021                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 21                                                                  ,,,215342,80434,,,,,,,,,,,,
State Senate District 22                                                                  ,,State Senate district,,214711,,,,,,207037,22,34          022                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196680,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,22,,,,,122430207,2957087,State Senate District 22                                                                  ,N, ,214711,79968,40.6155436,-74.3540727,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          022                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 22                                                                  ,,,207037,76587,,,,,,,,,,,,
State Senate District 23                                                                  ,,State Senate district,,229972,,,,,,217830,23,34          023                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196750,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,23,,,,,1948346318,39787686,State Senate District 23                                                                  ,N, ,229972,91670,40.700551,-74.9559773,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          023                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 23                                                                  ,,,217830,83727,,,,,,,,,,,,
State Senate District 24                                                                  ,,State Senate district,,215703,,,,,,204044,24,34          024                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,196902,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,24,,,,,1701878215,49573743,State Senate District 24                                                                  ,N, ,215703,87324,41.061988,-74.7066485,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          024                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 24                                                                  ,,,204044,78238,,,,,,,,,,,,
State Senate District 25                                                                  ,,State Senate district,,215844,,,,,,210827,25,34          025                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197015,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,25,,,,,507107881,32392840,State Senate District 25                                                                  ,N, ,215844,83204,40.9063047,-74.5404794,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          025                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 25                                                                  ,,,210827,78113,,,,,,,,,,,,
State Senate District 26                                                                  ,,State Senate district,,217839,,,,,,207093,26,34          026                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197090,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,26,,,,,503976468,29594108,State Senate District 26                                                                  ,N, ,217839,85422,40.9811921,-74.3861381,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          026                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 26                                                                  ,,,207093,77954,,,,,,,,,,,,
State Senate District 27                                                                  ,,State Senate district,,204496,,,,,,206390,27,34          027                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197164,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,27,,,,,155283652,1701113,State Senate District 27                                                                  ,N, ,204496,78397,40.8115243,-74.2862988,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          027                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 27                                                                  ,,,206390,75325,,,,,,,,,,,,
State Senate District 28                                                                  ,,State Senate district,,210635,,,,,,217596,28,34          028                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197236,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,28,,,,,40079074,234706,State Senate District 28                                                                  ,N, ,210635,86078,40.7943842,-74.1821504,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          028                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 28                                                                  ,,,217596,83905,,,,,,,,,,,,
State Senate District 29                                                                  ,,State Senate district,,206523,,,,,,202362,29,34          029                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197323,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,29,,,,,57889650,4987882,State Senate District 29                                                                  ,N, ,206523,79684,40.7187623,-74.1712573,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          029                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 29                                                                  ,,,202362,74198,,,,,,,,,,,,
State Senate District 30                                                                  ,,State Senate district,,270300,,,,,,214222,30,34          030                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197400,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,30,,,,,945362532,13761607,State Senate District 30                                                                  ,N, ,270300,89225,40.1192634,-74.4236761,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          030                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 30                                                                  ,,,214222,72924,,,,,,,,,,,,
State Senate District 31                                                                  ,,State Senate district,,214973,,,,,,207327,31,34          031                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197491,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,31,,,,,38701343,28665691,State Senate District 31                                                                  ,N, ,214973,95312,40.6859107,-74.0856487,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          031                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 31                                                                  ,,,207327,82844,,,,,,,,,,,,
State Senate District 32                                                                  ,,State Senate district,,208639,,,,,,208227,32,34          032                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197562,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,32,,,,,67407864,7770855,State Senate District 32                                                                  ,N, ,208639,80191,40.767248,-74.0800844,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          032                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 32                                                                  ,,,208227,76566,,,,,,,,,,,,
State Senate District 33                                                                  ,,State Senate district,,224489,,,,,,206676,33,34          033                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197636,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,33,,,,,15706956,5321876,State Senate District 33                                                                  ,N, ,224489,99982,40.7592562,-74.0221767,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          033                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 33                                                                  ,,,206676,86196,,,,,,,,,,,,
State Senate District 34                                                                  ,,State Senate district,,205421,,,,,,205731,34,34          034                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197717,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,34,,,,,66661888,776674,State Senate District 34                                                                  ,N, ,205421,84036,40.8673701,-74.1502858,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          034                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 34                                                                  ,,,205731,82063,,,,,,,,,,,,
State Senate District 35                                                                  ,,State Senate district,,209995,,,,,,210829,35,34          035                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197782,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,35,,,,,61005520,1165510,State Senate District 35                                                                  ,N, ,209995,71712,40.9327403,-74.1723968,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          035                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 35                                                                  ,,,210829,69712,,,,,,,,,,,,
State Senate District 36                                                                  ,,State Senate district,,219354,,,,,,214297,36,34          036                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197844,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,36,,,,,77716962,3591437,State Senate District 36                                                                  ,N, ,219354,82210,40.8256486,-74.1040768,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          036                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 36                                                                  ,,,214297,80167,,,,,,,,,,,,
State Senate District 37                                                                  ,,State Senate district,,221026,,,,,,215675,37,34          037                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197914,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,37,,,,,83575467,6818575,State Senate District 37                                                                  ,N, ,221026,84979,40.8920138,-73.9978941,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          037                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 37                                                                  ,,,215675,81877,,,,,,,,,,,,
State Senate District 38                                                                  ,,State Senate district,,222394,,,,,,215129,38,34          038                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,197984,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,38,,,,,90797695,6890807,State Senate District 38                                                                  ,N, ,222394,93060,40.9343688,-74.0978573,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          038                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 38                                                                  ,,,215129,88648,,,,,,,,,,,,
State Senate District 39                                                                  ,,State Senate district,,217041,,,,,,214098,39,34          039                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,198056,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,39,,,,,210485902,14822950,State Senate District 39                                                                  ,N, ,217041,79733,41.0003193,-74.0287875,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          039                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 39                                                                  ,,,214098,77021,,,,,,,,,,,,
State Senate District 40                                                                  ,,State Senate district,,216232,,,,,,208760,40,34          040                  ,,,,,,,,,,,,,,,,,,,,,610,0,0,  ,198155,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,40,,,,,321165439,18822748,State Senate District 40                                                                  ,N, ,216232,78846,41.0223824,-74.2308187,LU,1779795,        ,        ,        ,  , ,     ,                  ,34          040                  ,,,,,,,,,,,,,,,,,,,,,State Senate District 40                                                                  ,,,208760,76332,,,,,,,,,,,,
General Assembly District 1                                                               ,,State Assembly district,,217333,,,,,,215295,1,34             001               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198283,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,1,,,,1314726709,105066323,General Assembly District 1                                                               ,N, ,217333,144330,39.2683119,-74.8751204,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             001               ,,,,,,,,,,,,,,,,,,,,,,,,215295,133900,1,,,,,,,,,,,
General Assembly District 2                                                               ,,State Assembly district,,234905,,,,,,215053,2,34             002               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198395,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,2,,,,1175735219,152971714,General Assembly District 2                                                               ,N, ,234905,109796,39.4587198,-74.629014,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             002               ,,,,,,,,,,,,,,,,,,,,,,,,215053,98763,2,,,,,,,,,,,
General Assembly District 3                                                               ,,State Assembly district,,235440,,,,,,209230,3,34             003               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198492,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,3,,,,2008849264,177635736,General Assembly District 3                                                               ,N, ,235440,89369,39.5353228,-75.2757613,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             003               ,,,,,,,,,,,,,,,,,,,,,,,,209230,79686,3,,,,,,,,,,,
General Assembly District 4                                                               ,,State Assembly district,,219804,,,,,,210282,4,34             004               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198630,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,4,,,,430125483,4666786,General Assembly District 4                                                               ,N, ,219804,84189,39.6753206,-75.0244521,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             004               ,,,,,,,,,,,,,,,,,,,,,,,,210282,78891,4,,,,,,,,,,,
General Assembly District 5                                                               ,,State Assembly district,,210162,,,,,,209792,5,34             005               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198705,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,5,,,,128722010,7280832,General Assembly District 5                                                               ,N, ,210162,83647,39.8591802,-75.0907341,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             005               ,,,,,,,,,,,,,,,,,,,,,,,,209792,82873,5,,,,,,,,,,,
General Assembly District 6                                                               ,,State Assembly district,,222700,,,,,,215440,6,34             006               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198807,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,6,,,,396022107,4716168,General Assembly District 6                                                               ,N, ,222700,90214,39.7745654,-74.9139342,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             006               ,,,,,,,,,,,,,,,,,,,,,,,,215440,84681,6,,,,,,,,,,,
General Assembly District 7                                                               ,,State Assembly district,,219914,,,,,,212000,7,34             007               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198900,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,7,,,,224108602,19704141,General Assembly District 7                                                               ,N, ,219914,86846,40.0229011,-74.9082162,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             007               ,,,,,,,,,,,,,,,,,,,,,,,,212000,81595,7,,,,,,,,,,,
General Assembly District 8                                                               ,,State Assembly district,,227817,,,,,,212884,8,34             008               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,198993,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,8,,,,1238059030,19398613,General Assembly District 8                                                               ,N, ,227817,90688,39.8967529,-74.6950036,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             008               ,,,,,,,,,,,,,,,,,,,,,,,,212884,82996,8,,,,,,,,,,,
General Assembly District 9                                                               ,,State Assembly district,,236923,,,,,,211606,9,34             009               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199086,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,9,,,,1587553299,289442426,General Assembly District 9                                                               ,N, ,236923,134432,39.7533188,-74.3729495,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             009               ,,,,,,,,,,,,,,,,,,,,,,,,211606,118468,9,,,,,,,,,,,
General Assembly District 10                                                              ,,State Assembly district,,208227,,,,,,211884,10,34             010               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199205,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,10,,,,200279959,57643033,General Assembly District 10                                                              ,N, ,208227,104677,40.0203793,-74.1335518,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             010               ,,,,,,,,,,,,,,,,,,,,,,,,211884,101610,10,,,,,,,,,,,
General Assembly District 11                                                              ,,State Assembly district,,205526,,,,,,211707,11,34             011               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199285,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,11,,,,217958625,33163820,General Assembly District 11                                                              ,N, ,205526,98950,40.2389101,-74.0494114,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             011               ,,,,,,,,,,,,,,,,,,,,,,,,211707,96318,11,,,,,,,,,,,
General Assembly District 12                                                              ,,State Assembly district,,235457,,,,,,215033,12,34             012               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199401,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,12,,,,551776502,12404502,General Assembly District 12                                                              ,N, ,235457,88161,40.2685017,-74.2894261,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             012               ,,,,,,,,,,,,,,,,,,,,,,,,215033,76736,12,,,,,,,,,,,
General Assembly District 13                                                              ,,State Assembly district,,219626,,,,,,215255,13,34             013               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199483,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,13,,,,296748859,101420471,General Assembly District 13                                                              ,N, ,219626,83377,40.4122418,-74.170653,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             013               ,,,,,,,,,,,,,,,,,,,,,,,,215255,78376,13,,,,,,,,,,,
General Assembly District 14                                                              ,,State Assembly district,,230937,,,,,,204216,14,34             014               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199564,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,14,,,,449327708,7333690,General Assembly District 14                                                              ,N, ,230937,93413,40.3017732,-74.556507,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             014               ,,,,,,,,,,,,,,,,,,,,,,,,204216,81600,14,,,,,,,,,,,
General Assembly District 15                                                              ,,State Assembly district,,204558,,,,,,201335,15,34             015               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199638,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,15,,,,316830562,6275312,General Assembly District 15                                                              ,N, ,204558,78953,40.3194866,-74.7719492,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             015               ,,,,,,,,,,,,,,,,,,,,,,,,201335,75171,15,,,,,,,,,,,
General Assembly District 16                                                              ,,State Assembly district,,215874,,,,,,205055,16,34             016               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199704,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,16,,,,592477553,5878495,General Assembly District 16                                                              ,N, ,215874,82711,40.5773003,-74.6505958,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             016               ,,,,,,,,,,,,,,,,,,,,,,,,205055,77880,16,,,,,,,,,,,
General Assembly District 17                                                              ,,State Assembly district,,235142,,,,,,207244,17,34             017               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199793,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,17,,,,221615362,4624403,General Assembly District 17                                                              ,N, ,235142,81202,40.4889545,-74.5116918,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             017               ,,,,,,,,,,,,,,,,,,,,,,,,207244,73301,17,,,,,,,,,,,
General Assembly District 18                                                              ,,State Assembly district,,210881,,,,,,204120,18,34             018               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199868,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,18,,,,177712592,4443988,General Assembly District 18                                                              ,N, ,210881,77321,40.4945508,-74.3924523,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             018               ,,,,,,,,,,,,,,,,,,,,,,,,204120,74765,18,,,,,,,,,,,
General Assembly District 19                                                              ,,State Assembly district,,224578,,,,,,213505,19,34             019               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,199933,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,19,,,,128780258,18489434,General Assembly District 19                                                              ,N, ,224578,80797,40.524318,-74.2950678,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             019               ,,,,,,,,,,,,,,,,,,,,,,,,213505,76199,19,,,,,,,,,,,
General Assembly District 20                                                              ,,State Assembly district,,210628,,,,,,203922,20,34             020               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,200003,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,20,,,,67997219,3075317,General Assembly District 20                                                              ,N, ,210628,76642,40.6747007,-74.2328802,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             020               ,,,,,,,,,,,,,,,,,,,,,,,,203922,73635,20,,,,,,,,,,,
General Assembly District 21                                                              ,,State Assembly district,,219875,,,,,,215342,21,34             021               ,,,,,,,,,,,,,,,,,,,,,620,0,0,  ,200058,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,   ,21,,,,306355736,5470528,General Assembly District 21                                                              ,N, ,219875,82814,40.6939932,-74.428719,L4,1779795,        ,        ,        ,  , ,     ,                  ,34             021               ,,,,,,,,,,,,,,,,,,,,,,,,215342,80434,21,,,,,,,,,,,
